region,,oldest_a,oldest_b,oldest_c,older_a,older_b,older_c,young_a,young_b,young_c
BRA,Brazil,0.476875753,-2.856623262,12.1732322,0.021764997,-0.15568378,0.445644345,0.054325273,-0.468225912,1.409673691
CAN,Canada,0.369427671,-3.459118857,16.49230574,0.001436717,-0.010152911,0.146789758,0.000772604,0.00710054,0.065867631
RCAM,Central America,0.215710845,-1.142050057,3.801806046,0.011406619,-0.067968247,0.206923552,0.031627752,-0.162681154,0.541701357
STAN,Central Asia,0.037603596,2.161631806,7.282591111,0.017875499,-0.060378491,0.517674239,0.097105476,-0.729239474,3.752604964
CEU,Central Europe,1.35108856,-11.53280747,38.65347982,0.014901683,-0.100265608,0.36050142,0.037791378,-0.297534598,1.666241895
CHN,China region,3.555009755,-32.62883413,234.4842056,0.242652548,-1.811854191,5.99858905,0.858069097,-7.085555966,25.12114213
EAF,Eastern Africa,0.871695733,4.309702141,13.9481347,0.039306794,0.291822927,1.687670885,0.34869996,-0.82919536,7.720920191
INDIA,India,5.658709907,41.98104945,79.1430404,0.33528795,0.362080872,6.915436546,0.966249326,-2.747738916,25.64813385
INDO,Indonesia region,0.5688562,-2.836695951,6.908258415,0.026519144,-0.155601744,0.347166143,0.056415016,-0.196528189,0.46441342
JAP,Japan,0.54858573,-4.500704966,12.01495132,0.007151544,-0.05337592,0.209453116,0.014206123,-0.147222132,0.696573252
KOR,Korea region,0.197763256,-1.951339126,10.38058829,0.00570024,-0.044986676,0.177497603,0.029563823,-0.263220064,1.024510157
MEX,Mexico,-0.001477696,-0.233616668,7.696712958,0.00529684,-0.048786998,0.275609089,0.033110365,-0.432476629,1.89130765
ME,Middle East,0.971570562,21.51703481,-1.23021619,0.039917385,0.672771185,1.096257184,0.09546556,0.421662662,6.969641326
NAF,Northern Africa,0.669416351,5.628143675,13.05778407,0.043676548,0.016366,0.905907585,0.125821852,-0.572874288,4.905300051
OCE,Oceania,0.020456,-0.061298277,1.79065181,-0.001037003,0.020087505,0.068236131,-0.011941724,0.087770384,0.282652735
RSAM,Rest of South America,0.1410904,-1.446707855,19.87148485,0.014367989,-0.127279085,0.690380046,0.077820506,-0.858108598,3.893325657
RSAS,Rest of South Asia,2.311290092,27.15713046,27.375344,0.087733276,1.27754897,3.432859198,0.215772798,1.310689766,22.49550111
RSAF,Rest of Southern Africa,0.846860042,-2.813087131,8.733794758,0.062053992,-0.167451503,0.838373304,0.328501342,-1.025448688,3.678964144
RUS,Russia region,2.254959896,-19.20479189,65.08058401,0.028717582,-0.212734006,0.888956123,0.047395099,-0.340134103,2.320973731
SAF,South Africa,0.070499814,-0.637675933,3.659719024,0.001735265,-0.02223552,0.183386752,0.021360011,-0.262720051,1.211234936
SEAS,Southeastern Asia,1.701696712,-3.584406213,16.82994737,0.080460904,-0.27421855,0.841406643,0.184241462,-0.475019312,2.223452242
TUR,Turkey,0.047915152,0.906827326,7.045838724,0.00938383,-0.02752554,0.250073657,0.026062921,-0.212245735,1.964462806
USA,USA,1.42722858,-10.53669994,43.70105708,0.00563127,0.055627051,0.814423615,-0.061722085,0.440291151,2.109240834
UKR,Ukraine region,0.944489197,-7.522181054,22.05348978,0.012117777,-0.083798761,0.309021467,0.024299202,-0.174398443,1.15366243
WAF,Western Africa,6.993964166,-13.06582261,19.74410938,0.536197835,0.130680376,1.139855972,1.07282475,5.211921756,4.899068844
WEU,Western Europe,2.974632033,-26.12216385,86.19060523,0.012367441,-0.049085174,0.385075621,-0.014705527,0.08376044,1.773539676
